judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant,karakter_count,judul_berita_bersih,kategori_isu,score_kemenkeu,score_nasional,score_lainnya_hint,matched_terms,score_detail,label_reason
DPR Minta Garuda Perbaiki Kinerja dan Bisa Bagi DividenMarket1 jam yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922143012-17-669120/dpr-minta-garuda-perbaiki-kinerja-dan-bisa-bagi-dividen,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.272,0.688,0.494,False,76,dpr minta garuda perbaiki kinerja dan bisa bagi dividen,Isu Nasional,0,4,0,"{'kemenkeu': [], 'nasional': ['\\bdpr\\b|\\bdpd\\b|\\bmpr\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bdpr\\b|\\bdpd\\b|\\bmpr\\b': 4}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
"Sosok Ketua Tim Reformasi Polri, Jenderal Bergelar Profesor Peraih 3 Penghargaan Internasi...",Tidak Diketahui,https://www.liputan6.com/news/read/6165295/sosok-ketua-tim-reformasi-polri-jenderal-bergelar-profesor-peraih-3-penghargaan-internasional,liputan6,2025-09-22 10:58:32+07:00,makan bergizi gratis,0.0,0.23,0.709,0.494,False,93,"sosok ketua tim reformasi polri, jenderal bergelar profesor peraih 3 penghargaan internasi",Isu Nasional,0,5,0,"{'kemenkeu': [], 'nasional': ['\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b': 5}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
Cek Fakta: Hoaks Artikel Menkeu Purbaya Minta Rakyat Menyumbang Bila Ingin Ekonomi Maju Lagi,Tidak Diketahui,https://www.liputan6.com/cek-fakta/read/6164770/cek-fakta-hoaks-artikel-menkeu-purbaya-minta-rakyat-menyumbang-bila-ingin-ekonomi-maju-lagi,liputan6,2025-09-21 17:01:31+07:00,suntikan dana rp200 triliun,0.0,0.235,0.705,0.494,False,92,cek fakta: hoaks artikel menkeu purbaya minta rakyat menyumbang bila ingin ekonomi maju lagi,Isu Kemenkeu,12,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Mengaku Pihak Leasing, 3 Mata Elang Perampas Motor Warga di Jakut Dibekuk Polisi",Tidak Diketahui,https://www.liputan6.com/news/read/6165010/mengaku-pihak-leasing-3-mata-elang-perampas-motor-warga-di-jakut-dibekuk-polisi,liputan6,2025-09-21 20:40:24+07:00,diskusi banggar dpr,0.0,0.242,0.701,0.494,False,80,"mengaku pihak leasing, 3 mata elang perampas motor warga di jakut dibekuk polisi",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Bakal Ada Tax Amnesty Lagi? Ekonom: Ibarat Sekolah Ampuni Siswa Menyontek,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164724/bakal-ada-tax-amnesty-lagi-ekonom-ibarat-sekolah-ampuni-siswa-menyontek,liputan6,2025-09-21 12:00:01+07:00,makan bergizi gratis,0.0,0.28,0.683,0.494,False,73,bakal ada tax amnesty lagi? ekonom: ibarat sekolah ampuni siswa menyontek,Isu Kemenkeu,5,0,0,"{'kemenkeu': ['\\bamnesty\\b|\\bpengampunan pajak\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bamnesty\\b|\\bpengampunan pajak\\b': 5}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
Akses Keuangan Penting Bagi Petani untuk Bisa Naik Kelas,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164656/akses-keuangan-penting-bagi-petani-untuk-bisa-naik-kelas,liputan6,2025-09-21 07:50:57+07:00,makan bergizi gratis,0.0,0.237,0.705,0.494,False,56,akses keuangan penting bagi petani untuk bisa naik kelas,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Danpuspom: Kasus Perwira TNI Pukuli Ojol Diproses Sesuai Aturan!,Tidak Diketahui,https://news.okezone.com/read/2025/09/22/337/3171661/danpuspom-kasus-perwira-tni-pukuli-ojol-diproses-sesuai-aturan,okezone,2025-09-22 15:00:00+07:00,suntikan dana rp200 triliun,0.0,0.242,0.702,0.494,False,64,danpuspom: kasus perwira tni pukuli ojol diproses sesuai aturan!,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Temui Puan Maharani, Serikat Pekerja Desak Pengesahan RUU Ketenagakerjaan",Tidak Diketahui,https://economy.okezone.com/read/2025/09/22/320/3171632/temui-puan-maharani-serikat-pekerja-desak-pengesahan-ruu-ketenagakerjaan,okezone,2025-09-22 13:35:00+07:00,suntikan dana rp200 triliun,0.0,0.22,0.714,0.494,False,73,"temui puan maharani, serikat pekerja desak pengesahan ruu ketenagakerjaan",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Diduga Emosi Kakanwil Kemenag NTB Lempar Mikrofon Saat Acara Pelantikan Kepala Kemenag Dompu,,https://www.tribunnews.com/regional/7731594/diduga-emosi-kakanwil-kemenag-ntb-lempar-mikrofon-saat-acara-pelantikan-kepala-kemenag-dompu,tribunnews,2025-09-21 18:47:00+07:00,makan bergizi gratis,0.0,0.214,0.716,0.494,False,92,diduga emosi kakanwil kemenag ntb lempar mikrofon saat acara pelantikan kepala kemenag dompu,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Apakah Ada Tanggal Merah di Oktober 2025? Cek Daftar Libur Nasional dan Cuti Bersama di Sini!,,https://www.tribunnews.com/nasional/7731591/apakah-ada-tanggal-merah-di-oktober-2025-cek-daftar-libur-nasional-dan-cuti-bersama-di-sini,tribunnews,2025-09-21 18:32:00+07:00,diskusi banggar dpr,0.0,0.196,0.726,0.494,False,93,apakah ada tanggal merah di oktober 2025? cek daftar libur nasional dan cuti bersama di sini!,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
