judul_berita,penulis_berita,url_berita,media_online,tanggal_berita_dt,top_keyword,lex_match,fuzz_score,embed_sim,relevance_score,is_relevant,karakter_count,judul_berita_bersih,kategori_isu,score_kemenkeu,score_nasional,score_lainnya_hint,matched_terms,score_detail,label_reason
Bos BSI Buka Suara Soal Titipan Dana Rp10 Triliun dari Menkeu Purbaya,Trio Hamdani,https://www.idntimes.com/business/economy/bos-bsi-buka-suara-soal-titipan-dana-rp10-triliun-dari-menkeu-purbaya-00-bvq5c-wn60ws,idn_times,2025-09-22 15:30:00+07:00,suntikan dana rp200 triliun,0.0,0.479,0.799,0.623,True,69,bos bsi buka suara soal titipan dana rp10 triliun dari menkeu purbaya,Isu Kemenkeu,12,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Menkeu Purbaya: APBN Agustus 2025 Defisit Rp 321,6 Triliun",,https://www.tribunnews.com/bisnis/7731942/menkeu-purbaya-apbn-agustus-2025-defisit-rp-3216-triliun,tribunnews,2025-09-22 15:22:00+07:00,suntikan dana rp200 triliun,0.0,0.424,0.803,0.609,True,58,"menkeu purbaya: apbn agustus 2025 defisit rp 321,6 triliun",Isu Kemenkeu,22,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b', '\\bapbn\\b', '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6, '\\bapbn\\b': 6, '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b': 4}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Purbaya Laporkan Defisit APBN Rp 321,6 T di Akhir Agustus 2025News1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922144808-4-669128/purbaya-laporkan-defisit-apbn-rp-3216-t-di-akhir-agustus-2025,cnbc,2025-09-22 00:00:00+07:00,defisit apbn,1.0,0.258,0.679,0.585,True,81,"purbaya laporkan defisit apbn rp 321,6 t di akhir agustus 2025",Isu Kemenkeu,16,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b', '\\bapbn\\b', '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6, '\\bapbn\\b': 6, '\\bpembiayaan utang\\b|\\butang negara\\b|\\bdefisit\\b|\\bdefisit anggaran\\b': 4}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"BRI Salurkan KPR Subsidi Rp14,65 Triliun, Dukung Program Tiga Juta Rumah dan Asta Cita Pem...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164785/bri-salurkan-kpr-subsidi-rp1465-triliun-dukung-program-tiga-juta-rumah-dan-asta-cita-pemerintah,liputan6,2025-09-21 12:36:04+07:00,suntikan dana rp200 triliun,0.0,0.283,0.8,0.565,True,93,"bri salurkan kpr subsidi rp14,65 triliun, dukung program tiga juta rumah dan asta cita pem",Isu Lainnya,3,0,0,"{'kemenkeu': ['\\bsubsidi\\b|\\bkompensasi\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bsubsidi\\b|\\bkompensasi\\b': 3}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"200 Orang Tunggak Pajak Rp 60 Triliun, Purbaya: Mereka Tak Bisa Lari!News28 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922151312-4-669149/200-orang-tunggak-pajak-rp-60-triliun-purbaya-mereka-tak-bisa-lari,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.288,0.796,0.564,True,91,"200 orang tunggak pajak rp 60 triliun, purbaya: mereka tak bisa lari!",Isu Kemenkeu,11,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b', '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6, '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b': 5}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Bursa CFX Raup Transaksi Derivatif Kripto Rp73,8 Triliun, Dominasi Pasar Kian Kuat",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165291/bursa-cfx-raup-transaksi-derivatif-kripto-rp738-triliun-dominasi-pasar-kian-kuat,liputan6,2025-09-22 11:02:35+07:00,suntikan dana rp200 triliun,0.0,0.33,0.769,0.56,True,82,"bursa cfx raup transaksi derivatif kripto rp73,8 triliun, dominasi pasar kian kuat",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Dapat Suntikan Rp 10 T dari Purbaya, Ini Respons Bos BSI (BRIS)Market4 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922154251-17-669160/dapat-suntikan-rp-10-t-dari-purbaya-ini-respons-bos-bsi--bris-,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.319,0.764,0.554,True,86,"dapat suntikan rp 10 t dari purbaya, ini respons bos bsi (bris)",Isu Kemenkeu,6,0,0,"{'kemenkeu': ['\\b(purbaya yudhi|purbaya)\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\b(purbaya yudhi|purbaya)\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Serap Investasi Rp 6,5 Triliun, KEK Sei Mangkei Kini Jadi Pusat Hilirisasi Sawit",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164782/serap-investasi-rp-65-triliun-kek-sei-mangkei-kini-jadi-pusat-hilirisasi-sawit,liputan6,2025-09-21 12:30:46+07:00,suntikan dana rp200 triliun,0.0,0.299,0.764,0.548,False,80,"serap investasi rp 6,5 triliun, kek sei mangkei kini jadi pusat hilirisasi sawit",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"BRI Optimistis Perluas Akses Hunian, Salurkan KPR Subsidi Rp14,65 Triliun hingga Agustus 2...",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164790/bri-optimistis-perluas-akses-hunian-salurkan-kpr-subsidi-rp1465-triliun-hingga-agustus-2025,liputan6,2025-09-21 13:00:00+07:00,suntikan dana rp200 triliun,0.0,0.3,0.759,0.545,False,93,"bri optimistis perluas akses hunian, salurkan kpr subsidi rp14,65 triliun hingga agustus 2",Isu Lainnya,3,0,0,"{'kemenkeu': ['\\bsubsidi\\b|\\bkompensasi\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bsubsidi\\b|\\bkompensasi\\b': 3}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Dukung Iklim Investasi, Kemnaker Terus Tingkatkan Layanan Perizinan TKA",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165513/dukung-iklim-investasi-kemnaker-terus-tingkatkan-layanan-perizinan-tka,liputan6,2025-09-22 14:53:01+07:00,suntikan dana rp200 triliun,0.0,0.347,0.728,0.541,False,71,"dukung iklim investasi, kemnaker terus tingkatkan layanan perizinan tka",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Kemenkeu Catat Setoran Pajak RI Tembus Rp1.135 T per Agustus 2025News12 menit yang lalu,Tidak Diketahui,https://www.cnbcindonesia.com/news/20250922153756-4-669155/kemenkeu-catat-setoran-pajak-ri-tembus-rp1135-t-per-agustus-2025,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.246,0.776,0.539,False,87,kemenkeu catat setoran pajak ri tembus rp1.135 t per agustus 2025,Isu Kemenkeu,11,0,0,"{'kemenkeu': ['\\bkemenkeu\\b', '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bkemenkeu\\b': 6, '\\bpajak\\b|\\bppn\\b|\\bpajak penghasilan\\b|\\bpbb\\b|\\bpajak daerah\\b': 5}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
"Berbatik Lengan Panjang, Sudewo Penuhi Lagi Panggilan KPK soal Korupsi DJKA",Tidak Diketahui,https://www.liputan6.com/news/read/6165329/berbatik-lengan-panjang-sudewo-penuhi-lagi-panggilan-kpk-soal-korupsi-djka,liputan6,2025-09-22 11:36:04+07:00,diskusi banggar dpr,0.0,0.277,0.755,0.536,False,75,"berbatik lengan panjang, sudewo penuhi lagi panggilan kpk soal korupsi djka",Isu Nasional,0,5,0,"{'kemenkeu': [], 'nasional': ['\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b': 5}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
"Rupiah Melemah, Dolar AS Makin Perkasa Naik ke Rp16.600Market45 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922143655-17-669124/rupiah-melemah-dolar-as-makin-perkasa-naik-ke-rp16600,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.283,0.751,0.535,False,79,"rupiah melemah, dolar as makin perkasa naik ke rp16.600",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Menkeu Purbaya Tampil Perdana Beberkan Kondisi APBN Agustus 2025: Kita Perlu Waspada Kondisi Global,,https://www.tribunnews.com/bisnis/7731936/menkeu-purbaya-tampil-perdana-beberkan-kondisi-apbn-agustus-2025-kita-perlu-waspada-kondisi-global,tribunnews,2025-09-22 15:18:00+07:00,suntikan dana rp200 triliun,0.0,0.27,0.757,0.535,False,99,menkeu purbaya tampil perdana beberkan kondisi apbn agustus 2025: kita perlu waspada kondisi global,Isu Kemenkeu,18,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b', '\\bapbn\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6, '\\bapbn\\b': 6}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
Cek Fakta: Tidak Benar Link Pendaftaran Bibit Pohon Gratis dari Kemenhut,Tidak Diketahui,https://www.liputan6.com/cek-fakta/read/6165199/cek-fakta-tidak-benar-link-pendaftaran-bibit-pohon-gratis-dari-kemenhut,liputan6,2025-09-22 13:03:36+07:00,makan bergizi gratis,0.0,0.326,0.726,0.533,False,72,cek fakta: tidak benar link pendaftaran bibit pohon gratis dari kemenhut,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Saham Haji Isam Terbang Lagi, Diam-diam Hartanya Tembus Rp 54 TMarket1 jam yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/market/20250922130224-17-669065/saham-haji-isam-terbang-lagi-diam-diam-hartanya-tembus-rp-54-t,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.288,0.742,0.532,False,84,"saham haji isam terbang lagi, diam-diam hartanya tembus rp 54 t",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Soal Perpres Kenaikan Gaji ASN hingga Pejabat, Menkeu Purbaya Bilang Begini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164905/soal-perpres-kenaikan-gaji-asn-hingga-pejabat-menkeu-purbaya-bilang-begini,liputan6,2025-09-21 16:30:23+07:00,suntikan dana rp200 triliun,0.0,0.333,0.719,0.531,False,75,"soal perpres kenaikan gaji asn hingga pejabat, menkeu purbaya bilang begini",Isu Kemenkeu,16,3,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b', '\\bgaji asn\\b'], 'nasional': ['\\bperppu\\b|\\bpp\\b|\\bperpres\\b|\\binpres\\b'], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6, '\\bgaji asn\\b': 4}, 'nasional': {'\\bperppu\\b|\\bpp\\b|\\bperpres\\b|\\binpres\\b': 3}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
Kunci Jawaban Bahasa Indonesia Kelas 2 Halaman 33: Menulis,,https://www.tribunnews.com/pendidikan/7731923/kunci-jawaban-bahasa-indonesia-kelas-2-halaman-33-menulis,tribunnews,2025-09-22 15:04:00+07:00,suntikan dana rp200 triliun,0.0,0.282,0.74,0.529,False,58,kunci jawaban bahasa indonesia kelas 2 halaman 33: menulis,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Libur Nasional Oktober: Simak Jadwal Lengkap Tanggal Merah dan Cuti Bersama 2025,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165451/libur-nasional-oktober-simak-jadwal-lengkap-tanggal-merah-dan-cuti-bersama-2025,liputan6,2025-09-22 15:15:07+07:00,diskusi banggar dpr,0.0,0.303,0.728,0.528,False,80,libur nasional oktober: simak jadwal lengkap tanggal merah dan cuti bersama 2025,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Peran Vital Gas Bumi Jaga Keandalan Listrik Nasional,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164968/peran-vital-gas-bumi-jaga-keandalan-listrik-nasional,liputan6,2025-09-21 20:30:49+07:00,suntikan dana rp200 triliun,0.0,0.278,0.741,0.528,False,52,peran vital gas bumi jaga keandalan listrik nasional,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Belajar dari Pandemi, PKS Luncurkan Gerakan Kader Sehat",,https://www.tribunnews.com/nasional/7731619/belajar-dari-pandemi-pks-luncurkan-gerakan-kader-sehat,tribunnews,2025-09-21 20:42:00+07:00,suntikan dana rp200 triliun,0.0,0.317,0.721,0.528,False,55,"belajar dari pandemi, pks luncurkan gerakan kader sehat",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"CEO Tewas Jatuh dari Gunung 900 Meter, Begini KronologinyaTech54 menit yang lalu",Tidak Diketahui,https://www.cnbcindonesia.com/tech/20250922135451-37-669096/ceo-tewas-jatuh-dari-gunung-900-meter-begini-kronologinya,cnbc,2025-09-22 00:00:00+07:00,suntikan dana rp200 triliun,0.0,0.243,0.756,0.527,False,80,"ceo tewas jatuh dari gunung 900 meter, begini kronologinya",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
KPK 'Bidik' Wahyudin Moridu Usai Viral Mau Rampok Uang Negara,Tidak Diketahui,https://www.liputan6.com/news/read/6165289/kpk-bidik-wahyudin-moridu-usai-viral-mau-rampok-uang-negara,liputan6,2025-09-22 10:56:20+07:00,diskusi banggar dpr,0.0,0.325,0.715,0.527,False,61,kpk 'bidik' wahyudin moridu usai viral mau rampok uang negara,Isu Nasional,0,5,2,"{'kemenkeu': [], 'nasional': ['\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b'], 'lainnya_hint': ['\\bviral\\b|\\btiktok\\b|\\binstagram\\b']}","{'kemenkeu': {}, 'nasional': {'\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b': 5}, 'lainnya_hint': {'\\bviral\\b|\\btiktok\\b|\\binstagram\\b': 2}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
"Astra International Buka Lowongan Kerja Terbaru, Daftar di Link Ini",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6160975/astra-international-buka-lowongan-kerja-terbaru-daftar-di-link-ini,liputan6,2025-09-22 07:00:59+07:00,suntikan dana rp200 triliun,0.0,0.34,0.709,0.527,False,67,"astra international buka lowongan kerja terbaru, daftar di link ini",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Top 3: Daftar Hari Libur Nasional dan Cuti Bersama 2026,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164584/top-3-daftar-hari-libur-nasional-dan-cuti-bersama-2026,liputan6,2025-09-21 07:00:36+07:00,suntikan dana rp200 triliun,0.0,0.268,0.744,0.527,False,55,top 3: daftar hari libur nasional dan cuti bersama 2026,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
BPOM Jawab Desakan KPAI Setop Sementara MBG: Kita Perbaiki yang Belum Sesuai Harapan,Tidak Diketahui,https://www.liputan6.com/news/read/6165441/bpom-jawab-desakan-kpai-setop-sementara-mbg-kita-perbaiki-yang-belum-sesuai-harapan,liputan6,2025-09-22 13:36:09+07:00,MBG,1.0,0.069,0.672,0.524,False,84,bpom jawab desakan kpai setop sementara mbg: kita perbaiki yang belum sesuai harapan,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Pelindo Rombak Jajaran Direksi dan Komisaris, Hapus Jabatan Wakil Dirut",Tidak Diketahui,https://www.liputan6.com/bisnis/read/6165338/pelindo-rombak-jajaran-direksi-dan-komisaris-hapus-jabatan-wakil-dirut,liputan6,2025-09-22 11:49:39+07:00,diskusi banggar dpr,0.0,0.289,0.729,0.524,False,71,"pelindo rombak jajaran direksi dan komisaris, hapus jabatan wakil dirut",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Gerhana Matahari Parsial: Waktu dan Cara Menyaksikannya,Tidak Diketahui,https://www.liputan6.com/news/read/6164883/gerhana-matahari-parsial-waktu-dan-cara-menyaksikannya,liputan6,2025-09-21 15:35:31+07:00,makan bergizi gratis,0.0,0.24,0.751,0.523,False,55,gerhana matahari parsial: waktu dan cara menyaksikannya,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Kuasa Hukum Ahmad Dhani Disentil Lita Gading usai Beri Keterangan soal Kasus SA, Putri Kliennya",,https://www.tribunnews.com/seleb/7731958/kuasa-hukum-ahmad-dhani-disentil-lita-gading-usai-beri-keterangan-soal-kasus-sa-putri-kliennya,tribunnews,2025-09-22 15:47:00+07:00,suntikan dana rp200 triliun,0.0,0.279,0.731,0.522,False,95,"kuasa hukum ahmad dhani disentil lita gading usai beri keterangan soal kasus sa, putri kliennya",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
KPK Tepis Isu Intervensi Istana dalam Penetapan Tersangka Korupsi Kuota Haji,,https://www.tribunnews.com/nasional/7731939/kpk-tepis-isu-intervensi-istana-dalam-penetapan-tersangka-korupsi-kuota-haji,tribunnews,2025-09-22 15:21:00+07:00,suntikan dana rp200 triliun,0.0,0.291,0.725,0.522,False,76,kpk tepis isu intervensi istana dalam penetapan tersangka korupsi kuota haji,Isu Nasional,0,10,0,"{'kemenkeu': [], 'nasional': ['\\bpresiden\\b|\\bwapres\\b|\\bwakil presiden\\b|\\bistana\\b|\\bsekretariat negara\\b', '\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b'], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {'\\bpresiden\\b|\\bwapres\\b|\\bwakil presiden\\b|\\bistana\\b|\\bsekretariat negara\\b': 5, '\\bkpk\\b|\\bott\\b|\\bkejagung\\b|\\bkejaksaan agung\\b|\\bpolri\\b|\\bbnn\\b': 5}, 'lainnya_hint': {}}",Kuat indikasi pemerintah/penegakan hukum pusat/politik nasional.
Pemalsu Cukai Rokok Siap-Siap Dikejar Menkeu Purbaya,Tidak Diketahui,https://www.liputan6.com/bisnis/read/6164884/pemalsu-cukai-rokok-siap-siap-dikejar-menkeu-purbaya,liputan6,2025-09-21 17:00:16+07:00,diskusi banggar dpr,0.0,0.282,0.726,0.52,False,52,pemalsu cukai rokok siap-siap dikejar menkeu purbaya,Isu Kemenkeu,17,0,0,"{'kemenkeu': ['\\bmenkeu\\b', '\\b(purbaya yudhi|purbaya)\\b', '\\bkepabeanan\\b|\\bcukai\\b'], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {'\\bmenkeu\\b': 6, '\\b(purbaya yudhi|purbaya)\\b': 6, '\\bkepabeanan\\b|\\bcukai\\b': 5}, 'nasional': {}, 'lainnya_hint': {}}",Kuat indikasi fiskal/Kemenkeu.
Kunci Jawaban Informatika Kelas 5 Halaman 57 Kurikulum Merdeka Bab 3: Soal HOTS,,https://www.tribunnews.com/pendidikan/7731586/kunci-jawaban-informatika-kelas-5-halaman-57-kurikulum-merdeka-bab-3-soal-hots,tribunnews,2025-09-21 18:05:00+07:00,suntikan dana rp200 triliun,0.0,0.264,0.734,0.52,False,79,kunci jawaban informatika kelas 5 halaman 57 kurikulum merdeka bab 3: soal hots,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"6 Hoaks Sepekan, dari Manipulasi Judul Artikel sampai Bantuan",Tidak Diketahui,https://www.liputan6.com/cek-fakta/read/6165156/6-hoaks-sepekan-dari-manipulasi-judul-artikel-sampai-bantuan,liputan6,2025-09-22 11:00:02+07:00,makan bergizi gratis,0.0,0.296,0.718,0.519,False,61,"6 hoaks sepekan, dari manipulasi judul artikel sampai bantuan",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Danpuspom TNI Tertibkan Penggunaan Strobo-Sirine Tot Tot Wuk Wuk: Kadang Ganggu dan Pancin...,Tidak Diketahui,https://www.liputan6.com/news/read/6165411/danpuspom-tni-tertibkan-penggunaan-strobo-sirine-tot-tot-wuk-wuk-kadang-ganggu-dan-pancing-emosi,liputan6,2025-09-22 13:01:51+07:00,diskusi banggar dpr,0.0,0.232,0.749,0.519,False,93,danpuspom tni tertibkan penggunaan strobo-sirine tot tot wuk wuk: kadang ganggu dan pancin,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
"Gunung Marapi Meletus Lagi Minggu Sore, Warga Diminta Jauhi Radius 3 Kilometer",Tidak Diketahui,https://www.liputan6.com/news/read/6164940/gunung-marapi-meletus-lagi-minggu-sore-warga-diminta-jauhi-radius-3-kilometer,liputan6,2025-09-21 17:41:50+07:00,diskusi banggar dpr,0.0,0.247,0.741,0.519,False,78,"gunung marapi meletus lagi minggu sore, warga diminta jauhi radius 3 kilometer",Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Mendagri Tito Karnavian Ajak KAHMI jadi Motor Perubahan Menuju Indonesia Emas 2045,Tidak Diketahui,https://www.liputan6.com/news/read/6164876/mendagri-tito-karnavian-ajak-kahmi-jadi-motor-perubahan-menuju-indonesia-emas-2045,liputan6,2025-09-21 15:25:25+07:00,suntikan dana rp200 triliun,0.0,0.257,0.737,0.519,False,82,mendagri tito karnavian ajak kahmi jadi motor perubahan menuju indonesia emas 2045,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
Kapan Libur Idul Fitri 2026? Simak Daftar 25 Hari Libur Nasional dan Cuti Bersama Tahun Depan,,https://www.tribunnews.com/nasional/7731907/kapan-libur-idul-fitri-2026-simak-daftar-25-hari-libur-nasional-dan-cuti-bersama-tahun-depan,tribunnews,2025-09-22 14:42:00+07:00,suntikan dana rp200 triliun,0.0,0.2,0.764,0.519,False,93,kapan libur idul fitri 2026? simak daftar 25 hari libur nasional dan cuti bersama tahun depan,Isu Lainnya,0,0,0,"{'kemenkeu': [], 'nasional': [], 'lainnya_hint': []}","{'kemenkeu': {}, 'nasional': {}, 'lainnya_hint': {}}",Tidak ada indikasi kuat isu Kemenkeu/Nasional.
