judul_berita,url_berita,tanggal_berita
"Avanza Tersingkir Lagi, Mobil Ini Makin Sah Jadi Raja Jalanan RINews12 menit yang lalu",https://www.cnbcindonesia.com/news/20250927215440-4-670763/avanza-tersingkir-lagi-mobil-ini-makin-sah-jadi-raja-jalanan-ri,2025-09-28T00:00:00+07:00
Lengkap! Ini Perintah Prabowo Buntut Kasus Keracunan MBGNews20 menit yang lalu,https://www.cnbcindonesia.com/news/20250928161611-4-670845/lengkap-ini-perintah-prabowo-buntut-kasus-keracunan-mbg,2025-09-28T00:00:00+07:00
Anindya Bakrie Buka Suara Soal Kuasai Tol Cibitung-CilincingMarket27 menit yang lalu,https://www.cnbcindonesia.com/market/20250927212653-17-670758/anindya-bakrie-buka-suara-soal-kuasai-tol-cibitung-cilincing,2025-09-28T00:00:00+07:00
"Buntut Keracunan MBG, Pemerintah Wajibkan SPPG Punya SLHSNews29 menit yang lalu",https://www.cnbcindonesia.com/news/20250928160936-4-670844/buntut-keracunan-mbg-pemerintah-wajibkan-sppg-punya-slhs,2025-09-28T00:00:00+07:00
"Tok! Proyek Tol Terpanjang di RI Akhirnya Dipotong, Cuma Sampai SiniNews42 menit yang lalu",https://www.cnbcindonesia.com/news/20250927211640-4-670754/tok-proyek-tol-terpanjang-di-ri-akhirnya-dipotong-cuma-sampai-sini,2025-09-28T00:00:00+07:00
"CNBC InsightSudah Jelas Korupsi, Pejabat di Jakarta Malah Dikasih Kenaikan JabatanEntrepreneur57 menit yang lalu",https://www.cnbcindonesia.com/entrepreneur/20250908093807-25-664908/sudah-jelas-korupsi-pejabat-di-jakarta-malah-dikasih-kenaikan-jabatan,2025-09-28T00:00:00+07:00
Prabowo Perintahkan SPPG Bermasalah Ditutup Usai Kasus Keracunan MBGNews1 jam yang lalu,https://www.cnbcindonesia.com/news/20250928153901-4-670843/prabowo-perintahkan-sppg-bermasalah-ditutup-usai-kasus-keracunan-mbg,2025-09-28T00:00:00+07:00
"Gelar Upacara HUT ke-80, KAI Pertegas Semangat MelayaniNews1 jam yang lalu",https://www.cnbcindonesia.com/news/20250928152912-4-670841/gelar-upacara-hut-ke-80-kai-pertegas-semangat-melayani,2025-09-28T00:00:00+07:00
"Ada Tol Baru, Jakarta-Bandung Sebentar Lagi Bisa Secepat KilatNews1 jam yang lalu",https://www.cnbcindonesia.com/news/20250927210415-4-670750/ada-tol-baru-jakarta-bandung-sebentar-lagi-bisa-secepat-kilat,2025-09-28T00:00:00+07:00
"Raksasa Tekstil Asal Bandung Resmi Pailit, Ini Nama PerusahaannyaMarket1 jam yang lalu",https://www.cnbcindonesia.com/market/20250927220319-17-670766/raksasa-tekstil-asal-bandung-resmi-pailit-ini-nama-perusahaannya,2025-09-28T00:00:00+07:00
"Ada Cara Gratis Langganan ChatGPT Plus 3 Bulan, Hemat JutaanTech1 jam yang lalu",https://www.cnbcindonesia.com/tech/20250928142114-37-670837/ada-cara-gratis-langganan-chatgpt-plus-3-bulan-hemat-jutaan,2025-09-28T00:00:00+07:00
"Daftar Negara Tujuan Duit Crazy Rich Dunia, Ada Tetangga IndonesiaResearch1 jam yang lalu",https://www.cnbcindonesia.com/research/20250928135510-128-670815/daftar-negara-tujuan-duit-crazy-rich-dunia-ada-tetangga-indonesia,2025-09-28T00:00:00+07:00
"Rusia Bombardir Kyiv Pakai Rudal & Drone, Suara Tembakan MenggemaNews1 jam yang lalu",https://www.cnbcindonesia.com/news/20250928125358-4-670806/rusia-bombardir-kyiv-pakai-rudal-drone-suara-tembakan-menggema,2025-09-28T00:00:00+07:00
"Proyek Bandara Bali Utara Ganti Lokasi, Ini Penjelasan KemenhubNews2 jam yang lalu",https://www.cnbcindonesia.com/news/20250928143433-4-670838/proyek-bandara-bali-utara-ganti-lokasi-ini-penjelasan-kemenhub,2025-09-28T00:00:00+07:00
"Ada 4 Bangunan Terlihat Jelas dari Luar Angkasa, Ini DaftarnyaTech2 jam yang lalu",https://www.cnbcindonesia.com/tech/20250928140001-37-670826/ada-4-bangunan-terlihat-jelas-dari-luar-angkasa-ini-daftarnya,2025-09-28T00:00:00+07:00
"Bandung Terancam Gempa Besar, Tandanya Sudah Terlihat di Gunung BatuNews2 jam yang lalu",https://www.cnbcindonesia.com/news/20250927213416-4-670760/bandung-terancam-gempa-besar-tandanya-sudah-terlihat-di-gunung-batu,2025-09-28T00:00:00+07:00
"Pengemis Terkaya Dunia, Harta Rp15 M & Punya ApartemenLifestyle2 jam yang lalu",https://www.cnbcindonesia.com/lifestyle/20250928124557-33-670804/pengemis-terkaya-dunia-harta-rp15-m-punya-apartemen,2025-09-28T00:00:00+07:00
Saat Marquez Menangis usai Pastikan Gelar Juara Dunia MotoGP 2025Lifestyle2 jam yang lalu,https://www.cnbcindonesia.com/lifestyle/20250928134111-33-670814/saat-marquez-menangis-usai-pastikan-gelar-juara-dunia-motogp-2025,2025-09-28T00:00:00+07:00
"Saldo JHT BPJS Bisa Dicairkan sebelum Resign, Begini CaranyaTech2 jam yang lalu",https://www.cnbcindonesia.com/tech/20250928121441-37-670801/saldo-jht-bpjs-bisa-dicairkan-sebelum-resign-begini-caranya,2025-09-28T00:00:00+07:00
"Gokil! Emas Pegadaian Sepekan Naik 3,19%, Pemilik Kipas-Kipas DuitResearch3 jam yang lalu",https://www.cnbcindonesia.com/research/20250928120930-128-670800/gokil-emas-pegadaian-sepekan-naik-319-pemilik-kipas-kipas-duit,2025-09-28T00:00:00+07:00
"Ahli Pasang Chip di 12 Kepala Manusia, Begini EfeknyaTech3 jam yang lalu",https://www.cnbcindonesia.com/tech/20250928122646-37-670802/ahli-pasang-chip-di-12-kepala-manusia-begini-efeknya,2025-09-28T00:00:00+07:00
"Insiden Maut Kampanye, 36 Orang Tewas & 50 Orang Luka-LukaNews3 jam yang lalu",https://www.cnbcindonesia.com/news/20250928112919-4-670799/insiden-maut-kampanye-36-orang-tewas-50-orang-luka-luka,2025-09-28T00:00:00+07:00
Pengamat Bongkar Modus Negatif Menyasar ke Menteri ESDMNews3 jam yang lalu,https://www.cnbcindonesia.com/news/20250928124408-4-670805/pengamat-bongkar-modus-negatif-menyasar-ke-menteri-esdm,2025-09-28T00:00:00+07:00
Daftar Artefak Budaya Milik Indonesia yang Mau Dikembalikan BelandaNews3 jam yang lalu,https://www.cnbcindonesia.com/news/20250928122913-4-670803/daftar-artefak-budaya-milik-indonesia-yang-mau-dikembalikan-belanda,2025-09-28T00:00:00+07:00
"Lewat Program Ini, BRI Peduli Ajak Generasi Muda Jaga Ekosistem SungaiNews4 jam yang lalu",https://www.cnbcindonesia.com/news/20250928112841-4-670798/lewat-program-ini-bri-peduli-ajak-generasi-muda-jaga-ekosistem-sungai,2025-09-28T00:00:00+07:00
"10 HP Pancarkan Radiasi Paling Tinggi, Ada yang Laku Keras di RITech4 jam yang lalu",https://www.cnbcindonesia.com/tech/20250928112307-37-670796/10-hp-pancarkan-radiasi-paling-tinggi-ada-yang-laku-keras-di-ri,2025-09-28T00:00:00+07:00
Cara Mudah Cek KTP Kamu Dipakai Pinjol IlegalMarket4 jam yang lalu,https://www.cnbcindonesia.com/market/20250928100338-17-670794/cara-mudah-cek-ktp-kamu-dipakai-pinjol-ilegal,2025-09-28T00:00:00+07:00
"Asal-Usul Fenomena Kumpul Kebo, Ternyata dari Gubernur VOCNews4 jam yang lalu",https://www.cnbcindonesia.com/news/20250928090717-4-670788/asal-usul-fenomena-kumpul-kebo-ternyata-dari-gubernur-voc,2025-09-28T00:00:00+07:00
"Nampan Makan MBG Diduga Tercemar Air Limbah, Begini KondisinyaNews4 jam yang lalu",https://www.cnbcindonesia.com/news/20250928094252-4-670792/nampan-makan-mbg-diduga-tercemar-air-limbah-begini-kondisinya,2025-09-28T00:00:00+07:00
Jadwal & Pemain Timnas Indonesia Babak 4 Kualifikasi Piala Dunia 2026Research5 jam yang lalu,https://www.cnbcindonesia.com/research/20250928024805-128-670770/jadwal-pemain-timnas-indonesia-babak-4-kualifikasi-piala-dunia-2026,2025-09-28T00:00:00+07:00
Menteri Transmigrasi Tebar Pesona 154 Kawasan ke Investor GlobalNews5 jam yang lalu,https://www.cnbcindonesia.com/news/20250928111327-4-670795/menteri-transmigrasi-tebar-pesona-154-kawasan-ke-investor-global,2025-09-28T00:00:00+07:00
"CNBC InsightTragis! Mayat Pejabat Ini Ditinggal di Jalan, Warga Ogah GotongEntrepreneur5 jam yang lalu",https://www.cnbcindonesia.com/entrepreneur/20250928093413-25-670791/tragis-mayat-pejabat-ini-ditinggal-di-jalan-warga-ogah-gotong,2025-09-28T00:00:00+07:00
Harta Karun RI Ini Jadi Incaran Pencinta Parfum & Komunitas GanjaResearch5 jam yang lalu,https://www.cnbcindonesia.com/research/20250928062024-128-670775/harta-karun-ri-ini-jadi-incaran-pencinta-parfum-komunitas-ganja,2025-09-28T00:00:00+07:00
Presiden Kolombia Tantang Trump usai Dilarang Masuk AmerikaNews5 jam yang lalu,https://www.cnbcindonesia.com/news/20250928092055-4-670790/presiden-kolombia-tantang-trump-usai-dilarang-masuk-amerika,2025-09-28T00:00:00+07:00
Cuma 3 Orang Ini Bisa Keliling Dunia Tanpa Paspor dan VisaLifestyle6 jam yang lalu,https://www.cnbcindonesia.com/lifestyle/20250928091524-33-670789/cuma-3-orang-ini-bisa-keliling-dunia-tanpa-paspor-dan-visa,2025-09-28T00:00:00+07:00
"10 Perusahaan Batu Bara Terbesar Dunia, Mesin Utama Listrik GlobalResearch6 jam yang lalu",https://www.cnbcindonesia.com/research/20250926183016-131-670606/10-perusahaan-batu-bara-terbesar-dunia-mesin-utama-listrik-global,2025-09-28T00:00:00+07:00
Potret Selena Gomez Resmi Menikah dengan Benny BlancoLifestyle6 jam yang lalu,https://www.cnbcindonesia.com/lifestyle/20250928095517-33-670793/potret-selena-gomez-resmi-menikah-dengan-benny-blanco,2025-09-28T00:00:00+07:00
