judul_berita,url_berita,tanggal_berita
Gak Berdaya! Rupiah Babak Belur Lawan Mata Uang ASEANResearch2 menit yang lalu,https://www.cnbcindonesia.com/research/20250926102414-128-670389/gak-berdaya-rupiah-babak-belur-lawan-mata-uang-asean,2025-09-26T00:00:00+07:00
"Buntut Pembobolan Rekening Sekuritas Rp 70 M, OJK Panggil BCAMarket4 menit yang lalu",https://www.cnbcindonesia.com/market/20250926112940-17-670415/buntut-pembobolan-rekening-sekuritas-rp-70-m-ojk-panggil-bca,2025-09-26T00:00:00+07:00
"InternasionalNetanyahu Ngamuk Lagi! Bombardir Negara Arab, 9 Tewas & 170 Luka-LukaNews7 menit yang lalu",https://www.cnbcindonesia.com/news/20250926110646-4-670405/netanyahu-ngamuk-lagi-bombardir-negara-arab-9-tewas-170-luka-luka,2025-09-26T00:00:00+07:00
"Dukung Penurunan Emisi-Penanggulangan Bencana, Ini Peran Penting BPDLHNews7 menit yang lalu",https://www.cnbcindonesia.com/news/20250926112320-4-670413/dukung-penurunan-emisi-penanggulangan-bencana-ini-peran-penting-bpdlh,2025-09-26T00:00:00+07:00
"Chatib Basri Ungkap Efek Bunga Deposito Dolar Naik, Rupiah Bisa LoyoMarket8 menit yang lalu",https://www.cnbcindonesia.com/market/20250926111645-17-670409/chatib-basri-ungkap-efek-bunga-deposito-dolar-naik-rupiah-bisa-loyo,2025-09-26T00:00:00+07:00
"Purbaya Sentil Rokok Ilegal, TikTok Shop Bilang Tanggung Jawab PenjualTech12 menit yang lalu",https://www.cnbcindonesia.com/tech/20250926110804-37-670407/purbaya-sentil-rokok-ilegal-tiktok-shop-bilang-tanggung-jawab-penjual,2025-09-26T00:00:00+07:00
Daftar 7 Bandara Terkecil Dunia & Jumlah Penerbangan yang TerbatasLifestyle17 menit yang lalu,https://www.cnbcindonesia.com/lifestyle/20250926092434-33-670373/daftar-7-bandara-terkecil-dunia-jumlah-penerbangan-yang-terbatas,2025-09-26T00:00:00+07:00
Komisi VI DPR Sepakat Kementerian BUMN Diubah Jadi Badan PengaturanMarket21 menit yang lalu,https://www.cnbcindonesia.com/market/20250926110357-17-670402/komisi-vi-dpr-sepakat-kementerian-bumn-diubah-jadi-badan-pengaturan,2025-09-26T00:00:00+07:00
"Efek Dahsyat Gangguan Tambang di RI, Dunia Goyah!News22 menit yang lalu",https://www.cnbcindonesia.com/news/20250926104333-4-670397/efek-dahsyat-gangguan-tambang-di-ri-dunia-goyah,2025-09-26T00:00:00+07:00
Purbaya Kumpulkan Rp 41 T Pajak Kripto hingga Fintech di Agustus 2025News26 menit yang lalu,https://www.cnbcindonesia.com/news/20250926104639-4-670398/purbaya-kumpulkan-rp-41-t-pajak-kripto-hingga-fintech-di-agustus-2025,2025-09-26T00:00:00+07:00
Titiek Marah Lihat Mutu Beras di Gudang Bulog: Warnanya Udah Abu-Abu!News30 menit yang lalu,https://www.cnbcindonesia.com/news/20250926105952-4-670399/titiek-marah-lihat-mutu-beras-di-gudang-bulog-warnanya-udah-abu-abu,2025-09-26T00:00:00+07:00
