judul_berita,url_berita,tanggal_berita
Gebrakan AHY: Sulap 154 Kawasan Transmigrasi Jadi Pusat Ekonomi BaruNews1 menit yang lalu,https://www.cnbcindonesia.com/news/20250926133255-4-670482/gebrakan-ahy-sulap-154-kawasan-transmigrasi-jadi-pusat-ekonomi-baru,2025-09-26T00:00:00+07:00
"DPR Minta Minimum Free Float Naik Jadi 30%, Ini Kata AnalisMarket5 menit yang lalu",https://www.cnbcindonesia.com/market/20250926132206-17-670479/dpr-minta-minimum-free-float-naik-jadi-30-ini-kata-analis,2025-09-26T00:00:00+07:00
"InternasionalEks Presiden Divonis 5 Tahun Penjara, Terjerat Skandal Rezim DiktatorNews11 menit yang lalu",https://www.cnbcindonesia.com/news/20250926134907-4-670493/eks-presiden-divonis-5-tahun-penjara-terjerat-skandal-rezim-diktator,2025-09-26T00:00:00+07:00
"Bukan Harta, 9 Hal Paling Diinginkan Orang dalam Hidup versi PsikologLifestyle13 menit yang lalu",https://www.cnbcindonesia.com/lifestyle/20250926110440-33-670404/bukan-harta-9-hal-paling-diinginkan-orang-dalam-hidup-versi-psikolog,2025-09-26T00:00:00+07:00
"Purbaya Makan Siang Bareng Bos BI, Ini yang Dibahas!Market16 menit yang lalu",https://www.cnbcindonesia.com/market/20250926141155-17-670500/purbaya-makan-siang-bareng-bos-bi-ini-yang-dibahas,2025-09-26T00:00:00+07:00
"Rupiah Jeblok: Siap-Siap Harga Tempe, Gula Hingga Mie Instan MelonjakResearch21 menit yang lalu",https://www.cnbcindonesia.com/research/20250926112704-128-670414/rupiah-jeblok-siap-siap-harga-tempe-gula-hingga-mie-instan-melonjak,2025-09-26T00:00:00+07:00
"Kemenperin Geram, Tunjuk Pintu Masuk Barang Impor Ilegal Serbu RINews26 menit yang lalu",https://www.cnbcindonesia.com/news/20250926112953-4-670416/kemenperin-geram-tunjuk-pintu-masuk-barang-impor-ilegal-serbu-ri,2025-09-26T00:00:00+07:00
"Tinggal Disahkan Paripurna DPR, Ini 12 Poin Penting Revisi UU BUMNMarket33 menit yang lalu",https://www.cnbcindonesia.com/market/20250926133745-17-670489/tinggal-disahkan-paripurna-dpr-ini-12-poin-penting-revisi-uu-bumn,2025-09-26T00:00:00+07:00
Bank Asing Makin Banyak yang Jual Dolar di Angka Rp17.000Market35 menit yang lalu,https://www.cnbcindonesia.com/market/20250926125441-17-670457/bank-asing-makin-banyak-yang-jual-dolar-di-angka-rp17000,2025-09-26T00:00:00+07:00
"Cari Profit Lewat Fortuno School, Begini Cara Mulai Trading dari Nol!Market35 menit yang lalu",https://www.cnbcindonesia.com/market/20250926135714-17-670495/cari-profit-lewat-fortuno-school-begini-cara-mulai-trading-dari-nol,2025-09-26T00:00:00+07:00
"Indonesia Darurat Bersih-Bersih Tambang Ilegal, TINS Sudah Jadi KorbanNews41 menit yang lalu",https://www.cnbcindonesia.com/news/20250926132030-4-670468/indonesia-darurat-bersih-bersih-tambang-ilegal-tins-sudah-jadi-korban,2025-09-26T00:00:00+07:00
"Permintaan Melonjak, Galeri 24 Pastikan Stok Emas Batangan AmanNews45 menit yang lalu",https://www.cnbcindonesia.com/news/20250926133454-4-670483/permintaan-melonjak-galeri-24-pastikan-stok-emas-batangan-aman,2025-09-26T00:00:00+07:00
"Cek Iuran BPJS Kesehatan Terkini, Berlaku 26 September 2025News45 menit yang lalu",https://www.cnbcindonesia.com/news/20250926125040-4-670453/cek-iuran-bpjs-kesehatan-terkini-berlaku-26-september-2025,2025-09-26T00:00:00+07:00
"Ulang Tahun ke-70, Ini Jatuh Bangun CIMB Niaga Membangun IndonesiaResearch49 menit yang lalu",https://www.cnbcindonesia.com/research/20250926095620-128-670377/ulang-tahun-ke-70-ini-jatuh-bangun-cimb-niaga-membangun-indonesia,2025-09-26T00:00:00+07:00
2 Prompt Gemini AI Edit Foto Dikelilingi Bunga Matahari dan SakuraTech54 menit yang lalu,https://www.cnbcindonesia.com/tech/20250926130816-37-670464/2-prompt-gemini-ai-edit-foto-dikelilingi-bunga-matahari-dan-sakura,2025-09-26T00:00:00+07:00
"InternasionalDetik-Detik Pesawat Netanyahu Hindari Prancis, Takut Ditangkap ICCNews56 menit yang lalu",https://www.cnbcindonesia.com/news/20250926123509-4-670450/detik-detik-pesawat-netanyahu-hindari-prancis-takut-ditangkap-icc,2025-09-26T00:00:00+07:00
"Tak Cuma Investree, Cek 6 Startup Bangkrut dan Bermasalah di RITech1 jam yang lalu",https://www.cnbcindonesia.com/tech/20250926125545-37-670463/tak-cuma-investree-cek-6-startup-bangkrut-dan-bermasalah-di-ri,2025-09-26T00:00:00+07:00
"Pegadaian Umumkan 450 Pemenang ""Badai Emas 2025"" Periode 1News1 jam yang lalu",https://www.cnbcindonesia.com/news/20250926132002-4-670475/pegadaian-umumkan-450-pemenang-badai-emas-2025-periode-1,2025-09-26T00:00:00+07:00
"Di PBB, Menlu Sugiono: RI Dukung Badan Kemanusiaan PPB untuk PalestinaNews1 jam yang lalu",https://www.cnbcindonesia.com/news/20250926132433-4-670476/di-pbb-menlu-sugiono-ri-dukung-badan-kemanusiaan-ppb-untuk-palestina,2025-09-26T00:00:00+07:00
Ini 4 Alasan Orang Sulit Meminta Maaf kepada Orang LainLifestyle1 jam yang lalu,https://www.cnbcindonesia.com/lifestyle/20250926110102-33-670400/ini-4-alasan-orang-sulit-meminta-maaf-kepada-orang-lain,2025-09-26T00:00:00+07:00
